"subject" "activity" "TimeBodyAccelerometer.mean...X" "TimeBodyAccelerometer.mean...Y" "TimeBodyAccelerometer.mean...Z" "TimeGravityAccelerometer.mean...X" "TimeGravityAccelerometer.mean...Y" "TimeGravityAccelerometer.mean...Z" "TimeBodyAccelerometerJerk.mean...X" "TimeBodyAccelerometerJerk.mean...Y" "TimeBodyAccelerometerJerk.mean...Z" "TimeBodyGyroscope.mean...X" "TimeBodyGyroscope.mean...Y" "TimeBodyGyroscope.mean...Z" "TimeBodyGyroscopeJerk.mean...X" "TimeBodyGyroscopeJerk.mean...Y" "TimeBodyGyroscopeJerk.mean...Z" "TimeBodyAccelerometerMagnitude.mean.." "TimeGravityAccelerometerMagnitude.mean.." "TimeBodyAccelerometerJerkMagnitude.mean.." "TimeBodyGyroscopeMagnitude.mean.." "TimeBodyGyroscopeJerkMagnitude.mean.." "FrequencyBodyAccelerometer.mean...X" "FrequencyBodyAccelerometer.mean...Y" "FrequencyBodyAccelerometer.mean...Z" "FrequencyBodyAccelerometer.meanFreq...X" "FrequencyBodyAccelerometer.meanFreq...Y" "FrequencyBodyAccelerometer.meanFreq...Z" "FrequencyBodyAccelerometerJerk.mean...X" "FrequencyBodyAccelerometerJerk.mean...Y" "FrequencyBodyAccelerometerJerk.mean...Z" "FrequencyBodyAccelerometerJerk.meanFreq...X" "FrequencyBodyAccelerometerJerk.meanFreq...Y" "FrequencyBodyAccelerometerJerk.meanFreq...Z" "FrequencyBodyGyroscope.mean...X" "FrequencyBodyGyroscope.mean...Y" "FrequencyBodyGyroscope.mean...Z" "FrequencyBodyGyroscope.meanFreq...X" "FrequencyBodyGyroscope.meanFreq...Y" "FrequencyBodyGyroscope.meanFreq...Z" "FrequencyBodyAccelerometerMagnitude.mean.." "FrequencyBodyAccelerometerMagnitude.meanFreq.." "FrequencyBodyAccelerometerJerkMagnitude.mean.." "FrequencyBodyAccelerometerJerkMagnitude.meanFreq.." "FrequencyBodyGyroscopeMagnitude.mean.." "FrequencyBodyGyroscopeMagnitude.meanFreq.." "FrequencyBodyGyroscopeJerkMagnitude.mean.." "FrequencyBodyGyroscopeJerkMagnitude.meanFreq.." "Angle.TimeBodyAccelerometerMean.Gravity." "Angle.TimeBodyAccelerometerJerkMean..GravityMean." "Angle.TimeBodyGyroscopeMean.GravityMean." "Angle.TimeBodyGyroscopeJerkMean.GravityMean." "Angle.X.GravityMean." "Angle.Y.GravityMean." "Angle.Z.GravityMean." "TimeBodyAccelerometer.std...X" "TimeBodyAccelerometer.std...Y" "TimeBodyAccelerometer.std...Z" "TimeGravityAccelerometer.std...X" "TimeGravityAccelerometer.std...Y" "TimeGravityAccelerometer.std...Z" "TimeBodyAccelerometerJerk.std...X" "TimeBodyAccelerometerJerk.std...Y" "TimeBodyAccelerometerJerk.std...Z" "TimeBodyGyroscope.std...X" "TimeBodyGyroscope.std...Y" "TimeBodyGyroscope.std...Z" "TimeBodyGyroscopeJerk.std...X" "TimeBodyGyroscopeJerk.std...Y" "TimeBodyGyroscopeJerk.std...Z" "TimeBodyAccelerometerMagnitude.std.." "TimeGravityAccelerometerMagnitude.std.." "TimeBodyAccelerometerJerkMagnitude.std.." "TimeBodyGyroscopeMagnitude.std.." "TimeBodyGyroscopeJerkMagnitude.std.." "FrequencyBodyAccelerometer.std...X" "FrequencyBodyAccelerometer.std...Y" "FrequencyBodyAccelerometer.std...Z" "FrequencyBodyAccelerometerJerk.std...X" "FrequencyBodyAccelerometerJerk.std...Y" "FrequencyBodyAccelerometerJerk.std...Z" "FrequencyBodyGyroscope.std...X" "FrequencyBodyGyroscope.std...Y" "FrequencyBodyGyroscope.std...Z" "FrequencyBodyAccelerometerMagnitude.std.." "FrequencyBodyAccelerometerJerkMagnitude.std.." "FrequencyBodyGyroscopeMagnitude.std.." "FrequencyBodyGyroscopeJerkMagnitude.std.."
"LAYING" "LAYING" 0.278191828070175 -0.016957248044386 -0.112905673368421 0.869521809298246 -0.296196107192982 -0.246064468245614 0.0747534502631579 -0.00993585427903509 -0.00492364288052631 -0.0541886033474737 -0.0427169003070175 0.12076207122807 -0.0959485194736842 -0.0337463349539298 -0.0500908657719298 -0.614867504524561 -0.614867504524561 -0.736074121403509 -0.682575082842105 -0.825002086140351 -0.694545268091228 -0.600954053075439 -0.714259020473684 -0.161719684936211 0.0538111665438597 0.0692132026942105 -0.74430808454386 -0.708298345894737 -0.784102840526316 0.044741045754386 -0.157801704438596 -0.125951438866667 -0.776600675789474 -0.759608603859649 -0.698681646438597 -0.125134712875439 -0.0944965165194737 -0.0923377079070175 -0.654427580701754 0.159991481601754 -0.709848849681053 0.226853156308421 -0.775338095789474 0.0236445195280702 -0.835043635438596 0.200967180868421 0.0104985992266667 -0.0159396729894737 0.056720224077193 0.0411775356491228 -0.605774860175439 0.288828298245614 0.194398870877193 -0.662850385947368 -0.563277491473684 -0.679655580912281 -0.968698415964912 -0.967977965964912 -0.95032033877193 -0.739060170659649 -0.701773312077193 -0.803350617719298 -0.799504546403509 -0.767903593859649 -0.660185330947368 -0.842401199473684 -0.824545960350877 -0.817179189824561 -0.654774115614035 -0.654774115614035 -0.725133098735088 -0.756108812982456 -0.841243714385965 -0.651627921263158 -0.571897179578947 -0.686236360350877 -0.757173392719298 -0.715743072315789 -0.821460056315789 -0.808303721491228 -0.775332114561403 -0.682401996889474 -0.708597494105263 -0.748182440719298 -0.785658639824561 -0.861414376315789
"LAYING" "SITTING" 0.275953186727273 -0.0183698415727273 -0.11169409782 0.861611467636364 -0.360282867636364 -0.225008918181818 0.0971893401109091 -0.0137365718656364 -0.0135534654789091 -0.0237094562181818 -0.0829816987581818 0.0764177302909091 -0.0959549192363636 -0.0400986179118182 -0.0401089507543636 -0.506476671087273 -0.506476671087273 -0.650441061563636 -0.609262135147273 -0.784989182909091 -0.604009711072727 -0.485949623312727 -0.634002020136364 -0.253124753109091 -0.0570789522 0.00135401259818182 -0.655635816672727 -0.613231925243636 -0.707572344 -0.0301646046472727 -0.225450897018182 -0.163594922514545 -0.717403237636364 -0.716093376545455 -0.636615827963636 -0.162603114890909 -0.170230109749091 -0.157152263290909 -0.537057425363636 0.0742929037445455 -0.597565066687273 0.238927544050909 -0.737768607272727 -0.0501587718745455 -0.795283514 0.213658455349091 0.0544379961045455 -0.0828034986909091 -0.0424856638909091 0.0707058363127273 -0.586405477636364 0.333112998909091 0.179332872545455 -0.559148493090909 -0.422207002636364 -0.5954890248 -0.970453583818182 -0.961940931090909 -0.954029312181818 -0.647478019518182 -0.603525595709091 -0.727824131836364 -0.749108941636364 -0.729615774545455 -0.599856396181818 -0.795922680727273 -0.787515304 -0.760649622 -0.530603667509091 -0.530603667509091 -0.606915062763636 -0.713262627818182 -0.799024461454545 -0.543380368090909 -0.427201281054545 -0.607761557045455 -0.670945403692727 -0.620812277894545 -0.746442058215273 -0.760738816 -0.740836032363636 -0.629149606109091 -0.60049093022 -0.622256475836364 -0.746898201272727 -0.818581470545455
"LAYING" "STANDING" 0.255457378350877 -0.0223560932607018 -0.135213763245614 0.829682278245614 -0.34855631877193 -0.280866910350877 0.0818713090770175 0.0556419779122807 0.0019967277368421 -0.02809365684 -0.0725375097631579 0.076989329031579 -0.106448148245614 -0.0519136158245614 -0.0574209982824561 0.0409499367421053 0.0409499367421053 -0.0180913974385965 -0.0602608836842105 -0.262357793035088 -0.0983840574054386 0.149527705357895 -0.120918751514035 -0.212593926154386 0.0668091521192982 0.123575885542228 -0.0800996865385965 -0.00102400234035088 -0.251964284736842 -0.180390314157895 -0.330519178438597 -0.246048834947368 -0.143336698947368 -0.146400195282456 -0.0822129867684211 0.0177830563929825 -0.0118521316877193 -0.0935583985912281 -0.0417358671912281 0.231404284684211 -0.0184789600982456 0.23114312984386 -0.228553193754386 0.280977931070175 -0.37069834654386 0.217616701017544 -0.0270101235789474 0.00228691794736841 -0.046739183245614 0.00145089154385964 -0.551870560877193 0.325929723684211 0.221630906315789 -0.118913086859649 0.165617466480526 -0.0729297687070175 -0.932542485964912 -0.94369145754386 -0.901124933157895 -0.0390803333333333 0.0795277419368421 -0.306389461140351 -0.339777218824561 -0.181233890280702 -0.147102595245614 -0.168619882877193 -0.317179527333333 -0.327480286475439 -0.136943190929825 -0.136943190929825 -0.0471097591929825 -0.24080050752807 -0.366287654419298 -0.128985161666667 0.0987812325166667 -0.124593790931579 -0.0847591819473684 0.0940149254614035 -0.359302974173684 -0.404443300087719 -0.211977797863158 -0.250496245245614 -0.332471311824561 -0.105113486984211 -0.386166726105263 -0.412513593491228
"LAYING" "WALKING" 0.280721679122807 -0.0136299281052632 -0.10843357345614 0.919566426140351 -0.201004598982456 -0.159958116035088 0.0737670193333333 0.0112842916216 -0.00357234178491228 -0.0207582219649123 -0.0573658721075439 0.0686419703508772 -0.101437336719298 -0.0411318996666667 -0.0486868314175439 -0.971344610350877 -0.971344610350877 -0.984413451929825 -0.959163451754386 -0.987198095438596 -0.987243116842105 -0.961316783859649 -0.973268203333333 0.00608030038596491 0.0791897792631579 0.0375067903877193 -0.987084826491228 -0.976557480877193 -0.983977573859649 0.184751975738597 -0.0883907011298246 -0.0347918974368421 -0.97442578754386 -0.973769928421053 -0.968382836491228 -0.0693510948947368 -0.239316338475439 -0.0854893486315789 -0.973591757894737 0.137299873214035 -0.984553415614035 0.321097195333333 -0.971497035964912 -0.0814078921526316 -0.98708090122807 0.193446228710526 0.000160387642280702 0.00759693333333333 -0.0397930105263158 0.0194082122631579 -0.740550390877193 0.222318144561404 0.133483222578947 -0.988954440350877 -0.956703664210526 -0.963140598070175 -0.989014257017544 -0.97707406754386 -0.96740243245614 -0.986911441578947 -0.976670995438596 -0.986205986842105 -0.976943845964912 -0.969108278070175 -0.967255891578947 -0.985590711403509 -0.986562712631579 -0.985786557192982 -0.969712399473684 -0.969712399473684 -0.985705674561403 -0.96195099 -0.987365668245614 -0.989746342631579 -0.956403235087719 -0.960034658070175 -0.987909987192983 -0.978571313157895 -0.987026410526316 -0.977928665614035 -0.96683619754386 -0.969880587894737 -0.971739545438597 -0.986115364210526 -0.962475634210526 -0.988316231578947
"LAYING" "WALKING_DOWNSTAIRS" 0.2642789341875 -0.0190137891875 -0.103337274916667 0.469428784083333 0.304134426104167 0.357911789916667 0.0862942037708333 0.00486008832 -0.0186185620283333 -0.0311974165895833 -0.1183554485625 0.110783398208333 -0.0938941574916667 -0.035537980875 -0.0606743996666667 -0.961930855416667 -0.961930855416667 -0.984843734583333 -0.95777660625 -0.988771196875 -0.976426225416667 -0.964793053125 -0.958135763958333 -0.200477058770833 0.125727611702083 0.0864044283875 -0.987276888333333 -0.975395578125 -0.982836588958333 0.236238406095833 0.00215681188125 0.0628212967333333 -0.979842630833333 -0.976384692708333 -0.97949929875 -0.03683595031875 -0.252829415479167 0.153038851083333 -0.954443630208333 0.104221028997917 -0.981522746666667 0.326033611127083 -0.973367929375 -0.0474005558020833 -0.987431263541667 0.24829743675 0.02791657229375 0.00991905631041666 0.0244262200416667 0.012598212 -0.24704656375 -0.14410485375 -0.259321257583333 -0.970794243333333 -0.961572014166667 -0.941450693958333 -0.956781393541667 -0.980490524166667 -0.941218806666667 -0.987376350208333 -0.974993561458333 -0.984861173541667 -0.983513490625 -0.969687627291667 -0.9808947 -0.9872311675 -0.986898105208333 -0.987075028125 -0.945802702291667 -0.945802702291667 -0.981885553541667 -0.964897437291667 -0.98655475875 -0.969019779583333 -0.961533223125 -0.936860976666667 -0.988689409166667 -0.976361522708333 -0.985455837708333 -0.984727012916667 -0.966688167916667 -0.983095987916667 -0.9490098075 -0.981228983958333 -0.96556557375 -0.98614779125
"LAYING" "WALKING_UPSTAIRS" 0.282312954901961 -0.0177463780921569 -0.110652720078431 0.318573724705882 0.288331576352941 0.406680682196078 0.0727717974960784 0.017809902972549 -0.00907285424862745 -0.0210461711784314 -0.0863286901019608 0.0869321433529412 -0.096232187 -0.0386466560333333 -0.0602659208039216 -0.925169396078431 -0.925169396078431 -0.94982848627451 -0.924354818823529 -0.96340696 -0.950747238431373 -0.91878898235098 -0.93463530745098 -0.259693717796078 0.112587548941176 0.0432596223705882 -0.953627018431373 -0.937983550980392 -0.959015769215686 0.0882599549682353 -0.0852681015098039 -0.0168419594903922 -0.947221598823529 -0.94453533254902 -0.949684698039216 -0.0231489204019608 -0.297489166892157 0.0594264630784314 -0.936312917254902 0.0290251148215686 -0.946562764509804 0.265473177372549 -0.940896649607843 -0.119493028019608 -0.963015640196078 0.122792545850196 0.012420275194902 0.0320182615266667 0.0782372484490196 0.000341252137254905 -0.169629089019608 -0.132297120196078 -0.314357497980392 -0.947796266470588 -0.917738302901961 -0.915479479607843 -0.973499895882353 -0.97799495 -0.952663527647059 -0.951554131960784 -0.934000240098039 -0.964267163529412 -0.957019345490196 -0.937085424509804 -0.947825410588235 -0.95429834254902 -0.963179272745098 -0.968456678235294 -0.930354950980392 -0.930354950980392 -0.946527522941176 -0.930828357058823 -0.962001514313725 -0.947123238823529 -0.921608735078431 -0.91192755254902 -0.953854840980392 -0.934278252588235 -0.968321480980392 -0.960262202941176 -0.933992633333333 -0.951989773137255 -0.937820665686275 -0.945712964705882 -0.936655689803922 -0.963021207058824
"SITTING" "LAYING" 0.278343513148148 -0.012271968612963 -0.104427433141148 0.932588886666667 -0.274104057190556 0.0487153487759259 0.0789424148127778 0.0101163405796296 -0.011066553302037 -0.0355558603074074 -0.0566846482481481 0.0807097789259259 -0.0927346651851852 -0.0412298357037037 -0.0528068268092593 -0.887196195166667 -0.887196195166667 -0.935669895 -0.876097041666667 -0.95173028537037 -0.935599149814815 -0.86057706 -0.916730063888889 -0.0947463768314815 -0.0766465845925926 -0.0175889596851852 -0.941729802037037 -0.913050216314815 -0.958056685185185 0.0852922349785185 -0.212457612287037 -0.127220237525926 -0.886195253333333 -0.93148786462963 -0.903160129814815 -0.22572224207963 -0.267510650807407 -0.184496636520741 -0.894096982037037 0.0128665327055556 -0.931874575555556 0.137169992901852 -0.907062809259259 -0.255287119214815 -0.955716573888889 0.0520707056574074 0.0203353273592593 0.0332867248111111 0.0796426002962963 -0.0704775487962963 -0.71450045537037 0.271130831851852 -0.012286603287037 -0.937161896481482 -0.84126128962963 -0.880378172962963 -0.977914609814815 -0.941108432407407 -0.922543478148148 -0.938865244259259 -0.909143758035185 -0.962985200740741 -0.891703762592593 -0.919548517037037 -0.901645654074074 -0.92601778462963 -0.963949708888889 -0.945448315555556 -0.881318909444444 -0.881318909444444 -0.933232806296296 -0.877088205925926 -0.954139905185185 -0.938283512351852 -0.841513353333333 -0.872245534074074 -0.941438779444444 -0.911278767685185 -0.966565066481481 -0.894904705555556 -0.913731411481482 -0.910374433703704 -0.89298866 -0.934401535555556 -0.880116625740741 -0.955360858888889
"SITTING" "SITTING" 0.27311615884 -0.0235921774714 -0.096687895716 0.9070582852 -0.3391056332 -0.0969570352 0.05065420714 0.018934725112 -0.010284980114 0.043165916278 -0.13238434044 0.048012013398 -0.1186872118 -0.046664981968 -0.038561729048 -0.1802976862176 -0.1802976862176 -0.366181640002 -0.32516609534 -0.5676243792 -0.284642915614 -0.126786161544 -0.44566926286 -0.343937743334 -0.055297294034 -0.01124435225 -0.36859338836 -0.2912639686158 -0.5680563162 -0.24014265956 -0.3831053421 -0.21160605406 -0.41778235128 -0.48089209856 -0.34297647198 -0.158325142302 -0.16474128072 -0.116112846012 -0.23738457762 0.0440565955766 -0.30514586794 0.1329453742 -0.43992904866 0.00977716788 -0.59318974778 0.131991058874 0.007617002026 0.062078793276 -0.179691792 0.07399107856 -0.6605409112 0.316818234 0.08881726234 -0.25862401506 -0.094089543074 -0.379675668 -0.951654302 -0.9257750126 -0.900719084 -0.357445748588 -0.268967480014 -0.6081444272 -0.50382682698 -0.47086355664 -0.415044700658 -0.5475702642 -0.61453499998 -0.5118196098 -0.2732823972 -0.2732823972 -0.353341532092 -0.39655421598 -0.6066864924 -0.251260836402 -0.13632421271 -0.396169776 -0.4045558541654 -0.296011716846 -0.6470615914 -0.5342596892 -0.47210029546 -0.4956571598 -0.408852510812 -0.426447670706 -0.47982013398 -0.654314019
"SITTING" "STANDING" 0.266262705517857 -0.0225103361428571 -0.103002116276786 0.904776248928571 -0.329202272678571 -0.101100528732143 0.0654828112571429 0.0320238993357143 9.42536573214295e-05 -0.0111275548946429 -0.104249773132143 0.0739885828571429 -0.113014300367857 -0.0462869053928571 -0.0458061684708929 -0.0722376627321429 -0.0722376627321429 -0.325835806785714 -0.158611467178571 -0.55688937875 -0.2240458545 -0.0637742930875 -0.434972454464286 -0.39171173125 -0.0490008444285714 -0.307184731305357 -0.287807696908929 -0.249753606857143 -0.61983898625 -0.311194047696429 -0.4351957375 -0.410395689714286 -0.319159046196429 -0.449179601964286 -0.372451218782143 -0.161191257430357 -0.345565691176786 -0.0359237337482143 -0.172617162142857 -0.0137875177803571 -0.246867045639286 0.0731559292142857 -0.334553697375 -0.156934723390357 -0.61141711 0.111032529939286 0.0665669785 0.0297570324505357 0.0171237463392857 0.00678634408928571 -0.672513216607143 0.311189380714286 0.0919968664107143 -0.197308440071429 0.0348702965464286 -0.196782046208929 -0.952276441428571 -0.940903172678571 -0.9031161775 -0.263909586464286 -0.218602076696429 -0.650140104642857 -0.406625007405357 -0.264322757130357 -0.463702298785714 -0.451782544196429 -0.654037912142857 -0.496452785232143 -0.195583168803571 -0.195583168803571 -0.288361043982143 -0.192560375732143 -0.625013172678571 -0.188486582791071 0.0139230738678571 -0.153253156453571 -0.305836605232143 -0.238710934576786 -0.679109604107143 -0.439209419482143 -0.182112939107143 -0.54777758625 -0.337039412748214 -0.350556092283929 -0.242459272678571 -0.671860629107143
"SITTING" "WALKING" 0.260805333916667 -0.00733665520833333 -0.100034945433333 0.6715840945 0.205996215453 0.2104310521 0.07486456095 0.0121503374783333 -0.00510973502583333 -0.0355208049741667 -0.0744968870166667 0.101120601979333 -0.104111806433333 -0.0373173096916667 -0.0595508578628333 -0.9171987135 -0.9171987135 -0.970087738 -0.916933623333333 -0.977855897666667 -0.9708023295 -0.9110645645 -0.935665028166667 -0.0152531219883333 -0.0214512582216667 0.09774988995 -0.974248694833333 -0.956046418666667 -0.970713903333333 0.167943417666667 -0.154116642861667 -0.00222204038716667 -0.949392589666667 -0.959313067666667 -0.933997997333333 -0.0657455009 -0.156556585128333 -0.034752477325 -0.923187421166667 0.0761898296315 -0.966055887333333 0.257126241098333 -0.944715868333333 -0.153805975716667 -0.976719281666667 0.0133461858883333 0.0295219565268333 0.005416503505 0.0309774834666667 -0.008459216505 -0.508419080166667 -0.07770865785 -0.136723148116667 -0.972286534 -0.885022703833333 -0.9053274015 -0.963593372166667 -0.929706275666667 -0.925239472166667 -0.9740099835 -0.9555680405 -0.9746787985 -0.954124506 -0.9506428325 -0.926933062833333 -0.96868798 -0.9797693675 -0.973051001333333 -0.899986675666667 -0.899986675666667 -0.9665181755 -0.923558531966667 -0.975253074333333 -0.9731162965 -0.8802334785 -0.898007074 -0.976147072333333 -0.9583625745 -0.977334032166667 -0.956122861833333 -0.946656009 -0.931565826 -0.904454046833333 -0.966200001166667 -0.923755903966667 -0.974789405333333
